College Name,Location,Acceptance Rate,Notes on Psychology Program
Williams College,"Williamstown, MA",8,"Ranked #1 National Liberal Arts Colleges by U.S. News, Strong in Cognitive Science and Clinical Psychology"
Amherst College,"Amherst, MA",12,"Renowned for rigorous academics, strong psychology department with focus on research and abnormal psychology"
Swarthmore College,"Swarthmore, PA",9,"Focus on social justice and innovative pedagogy in psychology, strong in child development and cognition"
Pomona College,"Claremont, CA",7,"Offers diverse curriculum in psychology, emphasis on cultural psychology and ethics in research"
Bowdoin College,"Brunswick, ME",9,"Notable for neuropsychology and social psychology, excellent faculty and research opportunities"
Middlebury College,"Middlebury, VT",13,"Known for interdisciplinary approach in psychology, blending social sciences and humanities"
Carleton College,"Northfield, MN",18,"Strong in research and experimental psychology, emphasis on cognition and neuroscience"
Wellesley College,"Wellesley, MA",22,"Top women's college, emphasis on clinical psychology and development, rigorous curriculum"
Davidson College,"Davidson, NC",18,"Offers a broad range of psychology disciplines, strong in social and personality psychology"
Haverford College,"Haverford, PA",20,"Strong in cognitive and behavioral neuroscience, known for small class sizes and research opportunities"
Claremont McKenna College,"Claremont, CA",10,"Focuses on empirical research in psychology, top-notch faculty and diverse course offerings"
Vassar College,"Poughkeepsie, NY",16,"Known for its research opportunities, strong in developmental and social psychology"
Colby College,"Waterville, ME",9,Offers a strong liberal arts education with a focus on cognitive science and neuropsychology
Hamilton College,"Clinton, NY",14,"Emphasizes research design and methodology in psychology, strong in cognitive and social psychology"
Grinnell College,"Grinnell, IA",11,"Offers a broad education in psychology, strong focus on social justice and mental health"
Smith College,"Northampton, MA",31,"Offers a wide range of psychology disciplines, strong in clinical and abnormal psychology"
Bates College,"Lewiston, ME",17,"Known for its strong liberal arts education, emphasis on social psychology and cognitive science"
Wesleyan University,"Middletown, CT",19,Offers a comprehensive psychology program with an emphasis on cognitive and behavioral sciences
Barnard College,"New York, NY",14,"Strong in research and experimental psychology, emphasis on cognition and social psychology"
Colgate University,"Hamilton, NY",27,Notable for research opportunities and diverse course offerings in psychology
Harvey Mudd College,"Claremont, CA",10,"Known for its rigorous academics, emphasis on interdisciplinary approaches"
